"account_id","customer_id","tenure_months","num_referrals","has_internet_service","internet_type","has_unlimited_data","has_phone_service","has_multiple_lines","has_premium_tech_support","has_online_security","has_online_backup","has_device_protection","contract_type","paperless_billing","payment_method"
"AAJU-HMJLK","0334-ZFJSR",55,0,"Yes","Cable","No","Yes","Yes","Yes","Yes","Yes","No","One Year","Yes","Credit Card"
"AAKY-HUGJV","6235-VDHOM",5,0,"Yes","DSL","Yes","No","No","No","No","Yes","No","Month-to-Month","No","Bank Withdrawal"
"AAMB-TJYWC","4006-HKYHO",63,0,"Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AANL-MWPZF","3258-SYSWS",72,0,"Yes","Fiber Optic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","No","Bank Withdrawal"
"AAOS-KANBS","5360-XGYAZ",72,1,"Yes","DSL","No","No","No","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"AAUE-TSWJD","8337-MSSXB",14,0,"Yes","Fiber Optic","No","Yes","No","No","No","Yes","No","Month-to-Month","Yes","Bank Withdrawal"
"ABBQ-EXMMW","1820-DJFPH",72,4,"No","None","No","Yes","Yes","No","No","No","No","Two Year","Yes","Bank Withdrawal"
"ABDD-UFRYJ","6923-EFPNL",4,0,"Yes","DSL","Yes","Yes","Yes","No","No","No","No","Month-to-Month","No","Credit Card"
"ABHW-EXJZF","0582-AVCLN",38,0,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"ABJG-QLGHV","2371-JUNGC",11,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"ABRO-HZAVE","4488-KQFDT",61,0,"Yes","Fiber Optic","Yes","Yes","Yes","No","No","Yes","Yes","One Year","Yes","Bank Withdrawal"
"ABVY-EBWNE","5375-XLDOF",69,7,"Yes","Fiber Optic","No","Yes","Yes","Yes","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"ABWR-AIGRX","6196-HBOBZ",65,9,"Yes","Fiber Optic","Yes","Yes","Yes","No","Yes","Yes","Yes","Two Year","Yes","Bank Withdrawal"
"ABXE-RMQIZ","6340-DACFT",50,10,"No","None","No","Yes","No","No","No","No","No","Two Year","No","Credit Card"
"ABZW-YNPHD","2700-LUEVA",1,0,"No","None","No","Yes","No","No","No","No","No","Month-to-Month","No","Credit Card"
"ACBE-MREAI","8909-BOLNL",3,0,"No","None","No","Yes","No","No","No","No","No","One Year","No","Credit Card"
"ACCA-SYCSE","3589-PPVKW",9,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Credit Card"
"ACDC-BOLDN","6869-FGJJC",68,0,"Yes","Fiber Optic","No","Yes","No","No","No","Yes","Yes","One Year","No","Credit Card"
"ACDG-SFELI","1600-DILPE",12,0,"Yes","DSL","Yes","Yes","No","No","No","No","No","Month-to-Month","Yes","Bank Withdrawal"
"ACIS-YWVPE","4312-GVYNH",70,8,"Yes","Cable","Yes","No","No","Yes","Yes","No","Yes","Two Year","Yes","Bank Withdrawal"
