"account_id","avg_long_distance_fee_monthly","total_long_distance_fee","avg_gb_download_monthly","stream_tv","stream_movie","stream_music","total_monthly_fee","total_charges_quarter","total_refunds"
"AAJU-HMJLK",35.38,1945.9,13,"No","No","No",66.05,3462.1,44.53
"AAKY-HUGJV",0.0,0.0,26,"No","No","No",28.45,131.05,0.0
"AAMB-TJYWC",29.58,1863.54,47,"Yes","Yes","Yes",86.7,5309.5,0.0
"AANL-MWPZF",24.67,1776.24,26,"Yes","Yes","No",113.8,7845.8,0.0
"AAOS-KANBS",0.0,0.0,16,"Yes","Yes","Yes",65.65,4664.5,0.0
"AAUE-TSWJD",29.3,410.2,26,"No","Yes","Yes",86.3,1180.95,0.0
"ABBQ-EXMMW",48.29,3476.88,0,"No","No","No",24.05,1709.15,0.0
"ABDD-UFRYJ",9.98,39.92,13,"No","No","No",51.75,201.1,0.0
"ABHW-EXJZF",43.19,1641.22,0,"No","No","No",20.3,743.05,0.0
"ABJG-QLGHV",28.62,314.82,0,"No","No","No",20.25,208.0,0.0
"ABRO-HZAVE",15.44,941.84,30,"Yes","Yes","Yes",103.95,6423.0,0.0
"ABVY-EBWNE",37.97,2619.93,27,"Yes","Yes","Yes",114.35,7665.8,0.0
"ABWR-AIGRX",30.44,1978.6,20,"Yes","No","No",99.35,6347.55,0.0
"ABXE-RMQIZ",10.13,506.5,0,"No","No","No",20.55,1070.25,0.0
"ABZW-YNPHD",36.28,36.28,0,"No","No","No",20.75,20.75,0.0
"ACBE-MREAI",12.05,36.15,0,"No","No","No",21.2,52.05,0.0
"ACCA-SYCSE",38.65,347.85,26,"No","No","No",44.4,348.15,0.0
"ACDC-BOLDN",18.53,1260.04,21,"No","No","No",79.6,5461.45,3.26
"ACDG-SFELI",36.11,433.32,13,"No","No","No",45.0,524.35,0.0
"ACIS-YWVPE",0.0,0.0,26,"No","Yes","Yes",49.85,3370.2,0.0
"ACJR-GEHAK",46.34,1158.5,22,"Yes","Yes","No",105.95,2655.25,0.0
"ACJW-LTVNC",35.28,35.28,51,"No","No","Yes",71.35,71.35,0.0
"ACKD-UDPLI",30.68,2178.28,18,"Yes","Yes","Yes",85.75,6223.8,4.6
"ACKK-TZEXP",48.85,1612.05,30,"Yes","Yes","Yes",74.75,2453.3,0.0
"ACLC-PRMCH",3.94,78.8,18,"No","No","No",51.8,1023.85,0.0
"ACLJ-PVASD",42.71,170.84,56,"No","No","No",56.5,235.1,0.0
"ACOG-YBIQX",38.36,2416.68,0,"No","No","No",19.95,1234.8,0.0
"ACRR-TDNAI",10.48,712.64,0,"No","No","No",20.0,1396.0,0.0
"ACRT-ASLPT",49.48,2919.32,9,"No","No","No",54.15,3116.15,0.0
"ACSF-MFCZF",47.35,284.1,29,"Yes","Yes","Yes",98.25,560.6,0.0
"ACXJ-PKPUC",43.06,43.06,9,"No","No","No",83.4,83.4,0.0
"ADCJ-UZYUN",44.99,584.87,27,"No","Yes","Yes",80.5,1011.8,24.99
"ADCZ-RQOBI",5.27,363.63,0,"No","No","No",19.75,1375.4,0.0
