"customer_id","status","churn_label","churn_category","churn_reason"
"0002-ORFBO","Stayed","No","",""
"0003-MKNFE","Stayed","No","",""
"0004-TLHLJ","Churned","Yes","Competitor","Competitor had better devices"
"0011-IGKFF","Churned","Yes","Dissatisfaction","Product dissatisfaction"
"0013-EXCHZ","Churned","Yes","Dissatisfaction","Network reliability"
"0013-MHZWF","Stayed","No","",""
"0013-SMEOE","Stayed","No","",""
"0014-BMAQU","Stayed","No","",""
"0015-UOCOJ","Stayed","No","",""
"0016-QLJIS","Stayed","No","",""
"0017-DINOC","Stayed","No","",""
"0017-IUDMW","Stayed","No","",""
"0018-NYROU","Stayed","No","",""
"0019-EFAEP","Stayed","No","",""
"0019-GFNTW","Stayed","No","",""
"0020-INWCK","Stayed","No","",""
"0020-JDNXP","Stayed","No","",""
"0021-IKXGC","Joined","No","",""
"0022-TCJCI","Churned","Yes","Dissatisfaction","Limited range of services"
"0023-HGHWL","Churned","Yes","Competitor","Competitor made better offer"
"0023-UYUPN","Stayed","No","",""
"0023-XUOPT","Churned","Yes","Other","Don't know"
"0027-KWYKW","Stayed","No","",""
"0030-FNXPP","Joined","No","",""
"0031-PVLZI","Churned","Yes","Price","Long distance charges"
"0032-PGELS","Churned","Yes","Attitude","Attitude of service provider"
"0036-IHMOT","Stayed","No","",""
"0040-HALCW","Stayed","No","",""
"0042-JVWOJ","Stayed","No","",""
"0042-RLHYP","Stayed","No","",""
"0048-LUMLS","Stayed","No","",""
"0048-PIHNL","Stayed","No","",""
"0052-DCKON","Stayed","No","",""
"0052-YNYOT","Stayed","No","",""
"0056-EPFBG","Stayed","No","",""
"0057-QBUQH","Stayed","No","",""
"0058-EVZWM","Stayed","No","",""
"0060-FUALY","Stayed","No","",""
"0064-SUDOG","Stayed","No","",""
"0064-YIJGF","Stayed","No","",""
"0067-DKWBL","Churned","Yes","Competitor","Competitor made better offer"
"0068-FIGTF","Stayed","No","",""
"0071-NDAFP","Stayed","No","",""
"0074-HDKDG","Stayed","No","",""
"0076-LVEPS","Stayed","No","",""
"0078-XZMHT","Stayed","No","",""
"0080-EMYVY","Stayed","No","",""
"0080-OROZO","Stayed","No","",""
"0082-LDZUE","Joined","No","",""
"0082-OQIQY","Stayed","No","",""
"0083-PIVIK","Stayed","No","",""
"0089-IIQKO","Stayed","No","",""
"0093-EXYQL","Stayed","No","",""
"0093-XWZFY","Churned","Yes","Competitor","Competitor had better devices"
"0094-OIFMO","Churned","Yes","Dissatisfaction","Product dissatisfaction"
"0096-BXERS","Stayed","No","",""
"0096-FCPUF","Stayed","No","",""
"0098-BOWSO","Stayed","No","",""
"0100-DUVFC","Stayed","No","",""
"0103-CSITQ","Stayed","No","",""
"0104-PPXDV","Stayed","No","",""
"0106-GHRQR","Stayed","No","",""
"0106-UGRDO","Stayed","No","",""
"0107-WESLM","Churned","Yes","Attitude","Attitude of support person"
"0107-YHINA","Churned","Yes","Competitor","Competitor had better devices"
"0111-KLBQG","Stayed","No","",""
"0112-QAWRZ","Stayed","No","",""
"0112-QWPNC","Churned","Yes","Competitor","Competitor offered higher download speeds"
"0114-IGABW","Stayed","No","",""
"0114-PEGZZ","Stayed","No","",""
"0114-RSRRW","Stayed","No","",""
"0115-TFERT","Churned","Yes","Attitude","Attitude of service provider"
"0117-LFRMW","Churned","Yes","Competitor","Competitor offered more data"
"0118-JPNOY","Stayed","No","",""
"0121-SNYRK","Stayed","No","",""
"0122-OAHPZ","Churned","Yes","Competitor","Competitor made better offer"
"0123-CRBRT","Stayed","No","",""
"0125-LZQXK","Churned","Yes","Attitude","Attitude of service provider"
"0128-MKWSG","Stayed","No","",""
"0129-KPTWJ","Stayed","No","",""
"0129-QMPDR","Stayed","No","",""
"0130-SXOUN","Stayed","No","",""
"0133-BMFZO","Churned","Yes","Competitor","Competitor offered higher download speeds"
"0134-XWXCE","Stayed","No","",""
"0135-NMXAP","Churned","Yes","Attitude","Attitude of support person"
"0136-IFMYD","Stayed","No","",""
"0137-OCGAB","Churned","Yes","Price","Lack of affordable download/upload speed"
"0137-UDEUO","Churned","Yes","Price","Long distance charges"
"0139-IVFJG","Joined","No","",""
"0141-YEAYS","Stayed","No","",""
"0142-GVYSN","Stayed","No","",""
"0147-ESWWR","Stayed","No","",""
"0148-DCDOS","Churned","Yes","Competitor","Competitor had better devices"
"0151-ONTOV","Churned","Yes","Competitor","Competitor had better devices"
"0156-FVPTA","Churned","Yes","Attitude","Attitude of service provider"
"0164-APGRB","Stayed","No","",""
"0164-XAIRP","Stayed","No","",""
"0168-XZKBB","Stayed","No","",""
"0174-QRVVY","Stayed","No","",""
"0177-PXBAT","Stayed","No","",""
"0178-CIIKR","Joined","No","",""
"0178-SZBHO","Stayed","No","",""
"0181-RITDD","Stayed","No","",""
"0186-CAERR","Stayed","No","",""
"0187-QSXOE","Stayed","No","",""
"0187-WZNAB","Stayed","No","",""
"0188-GWFLE","Joined","No","",""
"0191-EQUUH","Stayed","No","",""
"0191-ZHSKZ","Stayed","No","",""
"0193-ESZXP","Churned","Yes","Attitude","Attitude of support person"
"0195-IESCP","Churned","Yes","Competitor","Competitor offered more data"
"0196-JTUQI","Stayed","No","",""
"0196-VULGZ","Churned","","Other","Deceased"
"0197-PNKNK","Stayed","No","",""
"0201-MIBOL","Stayed","No","",""
"0201-OAMXR","Churned","Yes","Dissatisfaction","Network reliability"
"0203-HHYIJ","Churned","Yes","Price","Long distance charges"
"0206-OYVOC","Stayed","No","",""
"0206-TBWLC","Stayed","No","",""
"0207-MDKNV","Churned","Yes","Competitor","Competitor made better offer"
"0208-BPQEJ","Stayed","No","",""
"0212-ISBBF","Stayed","No","",""
"0214-JHPFW","Stayed","No","",""
"0215-BQKGS","Stayed","No","",""
"0218-QNVAS","Stayed","No","",""
"0219-QAERP","Stayed","No","",""
"0219-YTZUE","Churned","Yes","Competitor","Competitor made better offer"
"0220-EBGCE","Churned","Yes","Competitor","Competitor made better offer"
"0221-NAUXK","Stayed","No","",""
"0221-WMXNQ","Stayed","No","",""
"0222-CNVPT","Stayed","No","",""
"0224-HJAPT","Churned","Yes","Competitor","Competitor made better offer"
"0224-NIJLP","Stayed","No","",""
"0224-RLWWD","Joined","No","",""
"0225-ZORZP","Joined","No","",""
"0228-MAUWC","Stayed","No","",""
"0229-LFJAF","Stayed","No","",""
"0230-UBYPQ","Stayed","No","",""
"0230-WEQUW","Stayed","No","",""
"0231-LXVAP","Churned","Yes","Competitor","Competitor made better offer"
"0233-FTHAV","Stayed","No","",""
"0234-TEVTT","Stayed","No","",""
"0235-KGSLC","Churned","","Other","Moved"
"0236-HFWSV","Churned","Yes","Competitor","Competitor had better devices"
"0237-YFUTL","Stayed","No","",""
"0238-WHBIQ","Stayed","No","",""
"0239-OXEXL","Stayed","No","",""
"0244-LGNFY","Stayed","No","",""
"0247-SLUJI","Joined","No","",""
"0248-IPDFW","Joined","No","",""
"0248-PGHBZ","Stayed","No","",""
"0253-ZTEOB","Stayed","No","",""
"0254-FNMCI","Stayed","No","",""
"0254-KCJGT","Stayed","No","",""
"0254-WWRKD","Stayed","No","",""
"0256-LTHVJ","Churned","Yes","Competitor","Competitor had better devices"
"0257-KXZGU","Stayed","No","",""
"0257-ZESQC","Churned","Yes","Attitude","Attitude of support person"
"0258-NOKBL","Joined","No","",""
"0259-GBZSH","Churned","Yes","Competitor","Competitor made better offer"
"0260-ZDLGK","Churned","Yes","Competitor","Competitor made better offer"
"0263-FJTQO","Stayed","No","",""
"0264-CNITK","Stayed","No","",""
"0265-EDXBD","Churned","Yes","Attitude","Attitude of support person"
"0265-PSUAE","Stayed","No","",""
"0266-CLZKZ","Stayed","No","",""
"0266-GMEAO","Stayed","No","",""
"0268-QKIWO","Churned","Yes","Attitude","Attitude of support person"
"0269-XFESX","Stayed","No","",""
"0270-THENM","Stayed","No","",""
"0274-JKUJR","Stayed","No","",""
"0277-BKSQP","Stayed","No","",""
"0277-ORXQS","Stayed","No","",""
"0278-YXOOG","Churned","Yes","Attitude","Attitude of support person"
"0280-XJGEX","Churned","Yes","Competitor","Competitor had better devices"
"0281-CNTZX","Stayed","No","",""
"0282-NVSJS","Stayed","No","",""
"0285-INHLN","Stayed","No","",""
"0289-IVARM","Stayed","No","",""
"0292-WEGCH","Stayed","No","",""
"0295-PPHDO","Churned","Yes","Competitor","Competitor had better devices"
"0295-QVKPB","Stayed","No","",""
"0297-RBCSG","Stayed","No","",""
"0298-XACET","Stayed","No","",""
"0301-FIDRB","Stayed","No","",""
"0301-KOBTQ","Stayed","No","",""
"0302-JOIVN","Churned","Yes","Competitor","Competitor made better offer"
"0303-UNCIP","Stayed","No","",""
"0303-WMMRN","Stayed","No","",""
"0305-SQECB","Stayed","No","",""
"0306-JAELE","Churned","Yes","Competitor","Competitor made better offer"
"0307-BCOPK","Stayed","No","",""
"0308-GIQJT","Stayed","No","",""
"0308-IVGOK","Stayed","No","",""
"0310-MVLET","Churned","Yes","Dissatisfaction","Service dissatisfaction"
"0310-SUCIN","Stayed","No","",""
"0310-VQXAM","Stayed","No","",""
"0311-QYWSS","Stayed","No","",""
"0311-UNPFF","Churned","Yes","Dissatisfaction","Service dissatisfaction"
"0314-TKOSI","Stayed","No","",""
"0315-LVCRK","Stayed","No","",""
"0318-QUUOB","Churned","Yes","Competitor","Competitor had better devices"
"0318-ZOPWS","Stayed","No","",""
"0319-QZTCO","Joined","No","",""
"0320-DWVTU","Stayed","No","",""
"0320-JDNQG","Churned","Yes","Other","Don't know"
"0322-CHQRU","Churned","Yes","Competitor","Competitor had better devices"
"0322-YINQP","Churned","Yes","Attitude","Attitude of support person"
"0323-XWWTN","Joined","No","",""
"0324-BRPCJ","Churned","Yes","Competitor","Competitor offered more data"
"0325-XBFAC","Churned","Yes","Competitor","Competitor offered more data"
"0326-VDYXE","Stayed","No","",""
"0327-WFZSY","Stayed","No","",""
"0328-GRPMV","Churned","Yes","Competitor","Competitor had better devices"
"0329-GTIAJ","Churned","Yes","Price","Price too high"
"0330-BGYZE","Stayed","No","",""
"0330-IVZHA","Churned","Yes","Attitude","Attitude of service provider"
"0334-GDDSO","Churned","Yes","Competitor","Competitor made better offer"
"0334-ZFJSR","Stayed","No","",""
"0336-KXKFK","Stayed","No","",""
"0336-PIKEI","Stayed","No","",""
"0337-CNPZE","Churned","Yes","Price","Price too high"
"0343-QLUZP","Stayed","No","",""
"0345-HKJVM","Churned","Yes","Other","Don't know"
"0345-XMMUG","Stayed","No","",""
"0347-UBKUZ","Stayed","No","",""
"0348-SDKOL","Churned","Yes","Competitor","Competitor made better offer"
"0354-VXMJC","Stayed","No","",""
"0354-WYROK","Churned","Yes","Other","Don't know"
"0356-ERHVT","Stayed","No","",""
"0356-OBMAC","Stayed","No","",""
"0357-NVCRI","Stayed","No","",""
"0361-HJRDX","Stayed","No","",""
"0362-RAOQO","Stayed","No","",""
"0362-ZBZWJ","Churned","Yes","Attitude","Attitude of service provider"
"0363-QJVFX","Churned","Yes","Attitude","Attitude of service provider"
"0363-SVHYR","Stayed","No","",""
"0365-BZUWY","Stayed","No","",""
"0365-GXEZS","Stayed","No","",""
"0365-TRTPY","Stayed","No","",""
"0366-NQSHS","Joined","No","",""
"0369-ZGOVK","Stayed","No","",""
"0373-AIVNJ","Stayed","No","",""
"0374-AACSZ","Joined","No","",""
"0374-FIUCA","Stayed","No","",""
"0374-IOEGQ","Joined","No","",""
"0375-HVGXO","Churned","Yes","Other","Don't know"
"0376-OIWME","Stayed","No","",""
"0376-YMCJC","Churned","Yes","Competitor","Competitor offered higher download speeds"
"0377-JBKKT","Stayed","No","",""
"0378-CJKPV","Stayed","No","",""
"0378-NHQXU","Churned","","Other","Deceased"
"0378-TOVMS","Churned","Yes","Competitor","Competitor had better devices"
"0378-XSZPU","Churned","Yes","Dissatisfaction","Network reliability"
"0379-DJQHR","Stayed","No","",""
"0380-NEAVX","Stayed","No","",""
"0380-ZCSBI","Stayed","No","",""
"0383-CLDDA","Stayed","No","",""
"0384-LPITE","Stayed","No","",""
"0384-RVBPI","Stayed","No","",""
"0386-CWRGM","Stayed","No","",""
"0388-EOPEX","Churned","Yes","Attitude","Attitude of support person"
"0390-DCFDQ","Churned","Yes","Other","Don't know"
"0392-BZIUW","Stayed","No","",""
"0394-YONDK","Stayed","No","",""
"0396-HUJBP","Joined","No","",""
"0396-UKGAI","Stayed","No","",""
"0396-YCHWO","Stayed","No","",""
"0397-GZBBC","Churned","Yes","Price","Price too high"
"0397-ZXWQF","Stayed","No","",""
"0401-WDBXM","Stayed","No","",""
"0402-CQAJN","Churned","Yes","Dissatisfaction","Lack of self-service on Website"
"0402-OAMEN","Stayed","No","",""
"0404-AHASP","Stayed","No","",""
"0404-SWRVG","Churned","Yes","Dissatisfaction","Product dissatisfaction"
"0406-BPDVR","Churned","Yes","Price","Lack of affordable download/upload speed"
"0407-BDJKB","Churned","Yes","Dissatisfaction","Service dissatisfaction"
"0409-WTMPL","Stayed","No","",""
"0410-IPFTY","Stayed","No","",""
"0411-EZJZE","Joined","No","",""
"0412-UCCNP","Stayed","No","",""
"0415-MOSGF","Churned","Yes","Attitude","Attitude of support person"
"0419-YAAPX","Stayed","No","",""
"0420-BWTPW","Churned","Yes","Attitude","Attitude of support person"
"0420-HLGXF","Stayed","No","",""
"0420-TXVSG","Stayed","No","",""
"0422-OHQHQ","Stayed","No","",""
"0422-UXFAP","Stayed","No","",""
"0423-UDIJQ","Stayed","No","",""
"0426-TIRNE","Churned","Yes","Dissatisfaction","Limited range of services"
"0428-AXXLJ","Stayed","No","",""
"0428-IKYCP","Stayed","No","",""
"0430-IHCDJ","Stayed","No","",""
"0431-APWVY","Churned","Yes","Other","Poor expertise of online support"
"0432-CAJZV","Joined","No","",""
"0434-CSFON","Stayed","No","",""
"0436-TWFFZ","Stayed","No","",""
"0439-IFYUN","Stayed","No","",""
"0440-EKDCF","Stayed","No","",""
"0440-MOGPM","Stayed","No","",""
"0440-QEXBZ","Stayed","No","",""
"0440-UEDAI","Stayed","No","",""
"0442-TDYUO","Stayed","No","",""
"0442-ZXKVS","Stayed","No","",""
"0447-BEMNG","Churned","Yes","Price","Price too high"
"0447-RXSGD","Stayed","No","",""
"0454-OKRCT","Stayed","No","",""
"0455-ENTCR","Stayed","No","",""
"0455-XFASS","Joined","No","",""
"0458-HEUZG","Stayed","No","",""
"0459-SPZHJ","Stayed","No","",""
"0461-CVKMU","Churned","Yes","Attitude","Attitude of support person"
"0463-TXOAK","Stayed","No","",""
"0463-WZZKO","Joined","No","",""
"0463-ZSDNT","Stayed","No","",""
"0464-WJTKO","Stayed","No","",""
"0468-YRPXN","Stayed","No","",""
"0471-ARVMX","Stayed","No","",""
"0471-LVHGK","Churned","Yes","Competitor","Competitor offered higher download speeds"
"0475-RIJEP","Churned","Yes","Price","Lack of affordable download/upload speed"
"0479-HMSWA","Stayed","No","",""
"0480-BIXDE","Stayed","No","",""
"0480-KYJVA","Stayed","No","",""
"0481-SUMCB","Stayed","No","",""
"0484-FFVBJ","Stayed","No","",""
"0484-JPBRU","Stayed","No","",""
"0485-ZBSLN","Stayed","No","",""
"0486-HECZI","Churned","Yes","Price","Long distance charges"
"0486-LGCCH","Stayed","No","",""
"0487-CRLZF","Stayed","No","",""
"0487-RPVUM","Stayed","No","",""
"0487-VVUVK","Stayed","No","",""
"0488-GSLFR","Churned","Yes","Dissatisfaction","Product dissatisfaction"
"0489-WMEMG","Stayed","No","",""
"0491-KAPQG","Stayed","No","",""
"0495-RVCBF","Churned","Yes","Other","Poor expertise of online support"
"0495-ZBNGW","Churned","Yes","Competitor","Competitor offered more data"
"0496-AHOOK","Stayed","No","",""
"0504-HHAPI","Churned","Yes","Other","Don't know"
"0505-SPOOW","Stayed","No","",""
"0506-LVNGN","Churned","Yes","Competitor","Competitor had better devices"
"0506-YLVKJ","Stayed","No","",""
"0508-OOLTO","Joined","No","",""
"0508-SQWPL","Stayed","No","",""
"0511-JTEOY","Churned","Yes","Competitor","Competitor made better offer"
"0512-FLFDW","Stayed","No","",""
"0513-RBGPE","Stayed","No","",""
"0515-YPMCW","Churned","Yes","Competitor","Competitor had better devices"
"0516-OOHAR","Stayed","No","",""
"0516-QREYC","Stayed","No","",""
"0516-UXRMT","Stayed","No","",""
"0516-VRYBW","Churned","Yes","Attitude","Attitude of support person"
"0516-WJVXC","Churned","Yes","Dissatisfaction","Network reliability"
"0519-DRGTI","Stayed","No","",""
"0519-XUZJU","Churned","Yes","Dissatisfaction","Service dissatisfaction"
"0520-FDVVT","Churned","Yes","Price","Price too high"
"0523-VNGTF","Stayed","No","",""
"0524-IAVZO","Churned","Yes","Other","Don't know"
"0526-SXDJP","Stayed","No","",""
"0529-ONKER","Churned","Yes","Attitude","Attitude of support person"
"0530-IJVDB","Stayed","No","",""
"0531-XBKMM","Stayed","No","",""
"0531-ZZJWQ","Stayed","No","",""
"0533-BNWKF","Churned","Yes","Competitor","Competitor made better offer"
"0533-UCAAU","Stayed","No","",""
"0536-ACXIP","Stayed","No","",""
"0536-BGFMZ","Stayed","No","",""
"0536-ESJEP","Stayed","No","",""
"0537-QYZZN","Stayed","No","",""
"0541-FITGH","Joined","No","",""
"0547-HURJB","Stayed","No","",""
"0549-CYCQN","Stayed","No","",""
"0550-DCXLH","Stayed","No","",""
"0556-FJEGU","Stayed","No","",""
"0557-ASKVU","Stayed","No","",""
"0559-CKHUS","Stayed","No","",""
"0562-FGDCR","Stayed","No","",""
"0562-HKHML","Stayed","No","",""
"0562-KBDVM","Stayed","No","",""
"0564-JJHGS","Churned","Yes","Dissatisfaction","Limited range of services"
"0564-MUUQK","Stayed","No","",""
"0565-IYCGT","Churned","Yes","Competitor","Competitor made better offer"
"0565-JUPYD","Stayed","No","",""
"0567-GGCAC","Stayed","No","",""
"0567-XRHCU","Stayed","No","",""
"0568-ONFPC","Churned","","Other","Moved"
"0570-BFQHT","Stayed","No","",""
"0572-ZJKLT","Stayed","No","",""
"0575-CUQOV","Stayed","No","",""
"0576-WNXXC","Churned","Yes","Dissatisfaction","Service dissatisfaction"
"0577-WHMEV","Stayed","No","",""
"0578-SKVMF","Churned","Yes","Competitor","Competitor had better devices"
"0580-PIQHM","Stayed","No","",""
"0581-BXBUB","Stayed","No","",""
"0581-MDMPW","Stayed","No","",""
"0582-AVCLN","Stayed","No","",""
"0584-BJQGZ","Stayed","No","",""
"0585-EGDDA","Stayed","No","",""
"0587-DMGBH","Churned","Yes","Competitor","Competitor offered higher download speeds"
"0594-UFTUL","Stayed","No","",""
"0595-ITUDF","Stayed","No","",""
"0596-BQCEQ","Churned","Yes","Competitor","Competitor had better devices"
"0599-XNYDO","Stayed","No","",""
"0601-WZHJF","Churned","Yes","Attitude","Attitude of service provider"
"0602-DDUML","Stayed","No","",""
"0603-OLQDC","Stayed","No","",""
"0603-TPMIB","Stayed","No","",""
"0604-THJFP","Stayed","No","",""
"0607-DAAHE","Churned","Yes","Price","Long distance charges"
"0607-MVMGC","Stayed","No","",""
"0608-JDVEC","Stayed","No","",""
"0611-DFXKO","Churned","Yes","Dissatisfaction","Service dissatisfaction"
"0612-RTZZA","Churned","Yes","Price","Price too high"
"0613-WUXUM","Stayed","No","",""
"0616-ATFGB","Churned","Yes","Competitor","Competitor had better devices"
"0617-AQNWT","Churned","Yes","Competitor","Competitor made better offer"
"0617-FHSGK","Churned","Yes","Price","Extra data charges"
"0618-XWMSS","Churned","Yes","Price","Long distance charges"
"0619-OLYUR","Stayed","No","",""
"0620-DLSLK","Stayed","No","",""
"0620-XEFWH","Stayed","No","",""
"0621-CXBKL","Stayed","No","",""
