"area_id","zip_code","city","latitutde","longitude","population"
1,90001,"Los Angeles",33.973616,-118.24902,54492
2,90002,"Los Angeles",33.949255,-118.246978,44586
3,90003,"Los Angeles",33.964131,-118.272783,58198
4,90004,"Los Angeles",34.076259,-118.310715,67852
5,90005,"Los Angeles",34.059281,-118.30742,43019
6,90006,"Los Angeles",34.048013,-118.293953,62784
7,90007,"Los Angeles",34.027337,-118.28515,45025
8,90008,"Los Angeles",34.008293,-118.346766,30852
9,90010,"Los Angeles",34.062125,-118.315709,1957
10,90011,"Los Angeles",34.00709,-118.258681,101215
11,90012,"Los Angeles",34.065875,-118.238728,30596
12,90013,"Los Angeles",34.044639,-118.240413,9732
13,90014,"Los Angeles",34.043144,-118.251977,3524
14,90015,"Los Angeles",34.039224,-118.266293,15140
15,90016,"Los Angeles",34.028331,-118.354338,46984
16,90017,"Los Angeles",34.052842,-118.264495,20692
17,90018,"Los Angeles",34.028735,-118.317236,47143
18,90019,"Los Angeles",34.049841,-118.33846,67520
19,90021,"Los Angeles",34.029043,-118.239504,3012
20,90022,"Los Angeles",34.02381,-118.156582,68701
21,90023,"Los Angeles",34.017697,-118.200577,47487
22,90024,"Los Angeles",34.066303,-118.435479,44150
23,90025,"Los Angeles",34.046174,-118.446333,41175
24,90026,"Los Angeles",34.078991,-118.263804,73686
25,90027,"Los Angeles",34.127194,-118.295647,48727
26,90028,"Los Angeles",34.099869,-118.326843,30568
27,90029,"Los Angeles",34.089953,-118.294824,41713
28,90031,"Los Angeles",34.085807,-118.206617,38415
29,90032,"Los Angeles",34.078821,-118.177576,46960
30,90033,"Los Angeles",34.050198,-118.210946,49431
31,90034,"Los Angeles",34.030578,-118.399613,58218
32,90035,"Los Angeles",34.051809,-118.383843,27799
33,90036,"Los Angeles",34.070291,-118.349191,32901
34,90037,"Los Angeles",34.002642,-118.287596,56709
35,90038,"Los Angeles",34.088017,-118.327168,32562
36,90039,"Los Angeles",34.110845,-118.259595,29310
37,90040,"Los Angeles",33.994524,-118.149953,9805
38,90041,"Los Angeles",34.137412,-118.207607,27866
39,90042,"Los Angeles",34.11572,-118.192754,64672
40,90043,"Los Angeles",33.988543,-118.334081,44764
41,90044,"Los Angeles",33.952714,-118.292061,87383
42,90045,"Los Angeles",33.954017,-118.402447,39334
43,90046,"Los Angeles",34.108455,-118.362081,49839
44,90047,"Los Angeles",33.958149,-118.308441,47107
45,90048,"Los Angeles",34.072945,-118.37267,21739
46,90049,"Los Angeles",34.091829,-118.491244,33523
47,90056,"Los Angeles",33.987945,-118.370442,8115
48,90057,"Los Angeles",34.061918,-118.277939,44004
49,90058,"Los Angeles",34.001617,-118.222274,3642
50,90059,"Los Angeles",33.927254,-118.249826,38128
51,90061,"Los Angeles",33.92128,-118.274186,24511
52,90062,"Los Angeles",34.003553,-118.308933,29299
53,90063,"Los Angeles",34.044271,-118.185237,55668
54,90064,"Los Angeles",34.037251,-118.423573,24505
55,90065,"Los Angeles",34.108833,-118.229715,47534
56,90066,"Los Angeles",34.002028,-118.430656,55204
57,90067,"Los Angeles",34.057496,-118.413959,2527
58,90068,"Los Angeles",34.137411,-118.328915,21728
59,90069,"West Hollywood",34.093781,-118.381061,20408
60,90071,"Los Angeles",34.052917,-118.255178,21
61,90077,"Los Angeles",34.102084,-118.451629,10470
62,90201,"Bell",33.970343,-118.171368,105285
63,90210,"Beverly Hills",34.099891,-118.414338,21397
64,90211,"Beverly Hills",34.063947,-118.383001,8321
65,90212,"Beverly Hills",34.062095,-118.401508,11355
66,90220,"Compton",33.88151,-118.234451,47305
67,90221,"Compton",33.885811,-118.206459,51387
68,90222,"Compton",33.912246,-118.236773,29825
69,90230,"Culver City",33.993991,-118.39704,31963
70,90232,"Culver City",34.019323,-118.391902,15195
71,90240,"Downey",33.956228,-118.120993,24908
72,90241,"Downey",33.940884,-118.128628,40152
73,90242,"Downey",33.921793,-118.140588,42459
74,90245,"El Segundo",33.917145,-118.401554,16041
75,90247,"Gardena",33.890853,-118.297967,47758
76,90248,"Gardena",33.876482,-118.284077,9960
77,90249,"Gardena",33.90139,-118.315697,26442
78,90250,"Hawthorne",33.914775,-118.348083,93315
79,90254,"Hermosa Beach",33.86532,-118.396336,18693
80,90255,"Huntington Park",33.97803,-118.217141,78114
81,90260,"Lawndale",33.88856,-118.351813,33300
82,90262,"Lynwood",33.923573,-118.200669,69850
83,90263,"Malibu",34.037037,-118.705803,11
84,90265,"Malibu",34.074572,-118.831181,19630
