"customer_id","gender","age","senior_citizen","married","num_dependents","zip_code"
"0002-ORFBO","Female",37,"No","Yes",0,93225
"0003-MKNFE","Male",46,"No","No",0,91206
"0004-TLHLJ","Male",50,"No","No",0,92627
"0011-IGKFF","Male",78,"Yes","Yes",0,94553
"0013-EXCHZ","Female",75,"Yes","Yes",0,93010
"0013-MHZWF","Female",23,"No","No",3,95345
"0013-SMEOE","Female",67,"Yes","Yes",0,93437
"0014-BMAQU","Male",52,"No","Yes",0,94558
"0015-UOCOJ","Female",68,"Yes","No",0,93063
"0016-QLJIS","Female",43,"No","Yes",1,95681
"0017-DINOC","Male",47,"No","No",0,92091
"0017-IUDMW","Female",25,"No","Yes",2,94086
"0018-NYROU","Female",58,"No","Yes",0,95843
"0019-EFAEP","Female",32,"No","No",0,91942
"0019-GFNTW","Female",39,"No","No",0,93441
"0020-INWCK","Female",58,"No","Yes",2,93286
"0020-JDNXP","Female",52,"No","Yes",1,94956
"0021-IKXGC","Female",72,"Yes","No",0,92078
"0022-TCJCI","Male",79,"Yes","No",0,94015
"0023-HGHWL","Male",67,"Yes","No",0,95037
"0023-UYUPN","Female",79,"Yes","Yes",0,93601
"0023-XUOPT","Female",26,"No","Yes",0,96140
"0027-KWYKW","Female",30,"No","Yes",2,93201
"0030-FNXPP","Female",22,"No","No",0,93530
"0031-PVLZI","Female",34,"No","Yes",0,95550
"0032-PGELS","Female",37,"No","Yes",1,92060
"0036-IHMOT","Female",37,"No","Yes",3,93648
"0040-HALCW","Male",42,"No","Yes",3,95358
"0042-JVWOJ","Male",64,"No","No",0,95442
"0042-RLHYP","Female",47,"No","Yes",3,95503
"0048-LUMLS","Male",23,"No","Yes",3,94038
"0048-PIHNL","Female",48,"No","Yes",0,90058
"0052-DCKON","Male",28,"No","Yes",0,90063
"0052-YNYOT","Female",28,"No","No",0,92231
"0056-EPFBG","Male",33,"No","Yes",1,96003
"0057-QBUQH","Female",31,"No","No",3,95046
"0058-EVZWM","Female",37,"No","Yes",0,95209
"0060-FUALY","Female",60,"No","Yes",0,90003
"0064-SUDOG","Female",48,"No","Yes",3,90255
"0064-YIJGF","Male",60,"No","Yes",3,92398
"0067-DKWBL","Male",69,"Yes","No",0,92129
"0068-FIGTF","Female",20,"No","No",0,94539
"0071-NDAFP","Male",31,"No","Yes",3,95405
"0074-HDKDG","Male",46,"No","Yes",0,95126
"0076-LVEPS","Male",57,"No","No",1,91042
"0078-XZMHT","Male",19,"No","Yes",0,93291
"0080-EMYVY","Female",64,"No","No",0,95240
"0080-OROZO","Female",38,"No","No",0,95318
"0082-LDZUE","Male",54,"No","No",0,94515
"0082-OQIQY","Male",50,"No","No",0,95230
"0083-PIVIK","Male",25,"No","No",0,96134
"0089-IIQKO","Female",35,"No","Yes",3,96107
"0093-EXYQL","Female",72,"Yes","No",0,93023
"0093-XWZFY","Male",51,"No","No",0,92241
"0094-OIFMO","Female",78,"Yes","No",1,91605
"0096-BXERS","Female",30,"No","Yes",0,94937
"0096-FCPUF","Male",58,"No","No",0,95404
"0098-BOWSO","Male",26,"No","No",0,95131
"0100-DUVFC","Male",66,"Yes","Yes",0,90744
"0103-CSITQ","Female",20,"No","Yes",0,95357
"0104-PPXDV","Male",61,"No","Yes",0,92113
"0106-GHRQR","Male",24,"No","No",0,90275
"0106-UGRDO","Female",55,"No","Yes",0,95452
"0107-WESLM","Male",32,"No","No",0,95255
"0107-YHINA","Male",59,"No","No",0,90062
"0111-KLBQG","Male",71,"Yes","Yes",1,92256
"0112-QAWRZ","Male",49,"No","Yes",2,92266
"0112-QWPNC","Male",61,"No","Yes",0,93563
"0114-IGABW","Female",40,"No","Yes",0,93428
"0114-PEGZZ","Female",39,"No","No",0,96084
"0114-RSRRW","Female",21,"No","Yes",0,95548
"0115-TFERT","Male",24,"No","Yes",0,93650
