iter	Passed	Remaining
0	5	5980
1	10	5360
2	15	5165
3	20	5020
4	24	4872
5	29	4897
6	33	4803
7	38	4773
8	43	4807
9	49	4864
10	54	4890
11	59	4885
12	64	4910
13	70	4949
14	75	4962
15	80	4951
16	85	4965
17	91	4970
18	96	5004
19	103	5052
20	108	5044
21	113	5064
22	119	5063
23	125	5107
24	131	5119
25	136	5113
26	142	5117
27	147	5110
28	152	5121
29	159	5155
30	165	5160
31	170	5153
32	176	5167
33	181	5157
34	187	5178
35	194	5205
36	199	5203
37	206	5220
38	210	5198
39	216	5193
40	222	5202
41	227	5191
42	233	5189
43	238	5188
44	244	5178
45	250	5187
46	256	5195
47	261	5183
48	267	5201
49	274	5214
50	280	5225
51	286	5224
52	292	5225
53	298	5231
54	304	5228
55	310	5228
56	316	5240
57	322	5243
58	328	5242
59	333	5226
60	339	5231
61	345	5230
62	351	5227
63	356	5215
64	362	5211
65	368	5211
66	373	5198
67	378	5193
68	385	5198
69	390	5190
70	396	5181
71	401	5178
72	408	5183
73	414	5187
74	421	5197
75	427	5202
76	435	5218
77	441	5213
78	447	5217
79	454	5223
80	460	5226
81	466	5222
82	471	5211
83	477	5203
84	483	5199
85	488	5192
86	494	5192
87	501	5197
88	507	5191
89	513	5189
90	519	5190
91	525	5186
92	531	5181
93	536	5168
94	541	5159
95	548	5162
96	554	5160
97	560	5156
98	565	5148
99	571	5139
100	576	5134
101	582	5131
102	588	5123
103	593	5113
104	601	5125
105	606	5115
106	612	5110
107	617	5096
108	623	5095
109	628	5085
110	633	5074
111	638	5063
112	644	5057
113	649	5048
114	654	5040
115	660	5034
116	665	5023
117	671	5019
118	676	5011
119	682	5004
120	688	5003
121	694	4998
122	699	4986
123	705	4981
124	710	4970
125	715	4961
126	720	4955
127	726	4948
128	732	4943
129	737	4938
130	743	4933
131	749	4927
132	754	4919
133	759	4909
134	765	4904
135	771	4898
136	777	4895
137	783	4893
138	789	4891
139	795	4884
140	801	4882
141	806	4872
142	812	4868
143	817	4862
144	823	4858
145	829	4851
146	834	4843
147	840	4836
148	846	4832
149	851	4826
150	857	4823
151	863	4818
152	869	4812
153	875	4807
154	880	4802
155	886	4794
156	892	4790
157	897	4784
158	903	4778
159	908	4771
160	914	4763
161	920	4760
162	925	4750
163	930	4742
164	934	4731
165	940	4725
166	946	4719
167	952	4717
168	958	4715
169	965	4712
170	970	4706
171	975	4698
172	981	4693
173	988	4690
174	993	4684
175	998	4674
176	1003	4668
177	1010	4664
178	1015	4659
179	1021	4652
180	1027	4648
181	1032	4642
182	1038	4636
183	1044	4631
184	1049	4622
185	1054	4617
186	1061	4612
187	1067	4609
188	1072	4603
189	1078	4598
190	1085	4596
191	1090	4589
192	1097	4587
193	1102	4580
194	1108	4575
195	1114	4572
196	1120	4567
197	1125	4560
198	1131	4553
199	1137	4549
200	1142	4543
201	1147	4533
202	1152	4524
203	1158	4519
204	1164	4514
205	1169	4507
206	1175	4501
207	1180	4496
208	1186	4490
209	1192	4484
210	1198	4480
211	1203	4474
212	1210	4471
213	1215	4465
214	1220	4458
215	1227	4455
216	1233	4449
217	1238	4443
218	1244	4437
219	1249	4430
220	1255	4426
221	1261	4421
222	1267	4416
223	1273	4411
224	1279	4407
225	1284	4400
226	1290	4392
227	1295	4387
228	1301	4381
229	1306	4374
230	1312	4368
231	1318	4363
232	1323	4357
233	1329	4351
234	1335	4346
235	1340	4341
236	1344	4329
237	1350	4322
238	1355	4316
239	1362	4314
240	1367	4307
241	1373	4302
242	1379	4296
243	1385	4291
244	1391	4287
245	1396	4280
246	1401	4273
247	1408	4269
248	1413	4263
249	1418	4256
250	1424	4249
251	1429	4242
252	1434	4235
253	1440	4231
254	1446	4226
255	1452	4221
256	1458	4215
257	1463	4210
258	1469	4205
259	1474	4197
260	1480	4191
261	1486	4185
262	1491	4179
263	1497	4174
264	1502	4166
265	1507	4158
266	1513	4153
267	1518	4147
268	1524	4143
269	1530	4137
270	1535	4131
271	1540	4124
272	1545	4116
273	1551	4110
274	1556	4102
275	1561	4096
276	1566	4089
277	1572	4083
278	1578	4079
279	1584	4074
280	1589	4067
281	1595	4062
282	1601	4058
283	1607	4052
284	1612	4045
285	1618	4040
286	1624	4036
287	1631	4032
288	1637	4028
289	1642	4021
290	1648	4015
291	1654	4011
292	1659	4003
293	1664	3997
294	1669	3990
295	1675	3984
296	1680	3978
297	1686	3971
298	1692	3967
299	1698	3962
300	1703	3955
301	1708	3949
302	1714	3944
303	1719	3937
304	1725	3931
305	1731	3927
306	1735	3916
307	1740	3910
308	1746	3905
309	1752	3900
310	1758	3895
311	1764	3890
312	1769	3883
313	1776	3880
314	1781	3875
315	1787	3869
316	1793	3864
317	1799	3859
318	1804	3852
319	1810	3847
320	1815	3840
321	1821	3835
322	1827	3830
323	1832	3823
324	1838	3818
325	1843	3811
326	1848	3803
327	1853	3796
328	1858	3791
329	1863	3784
330	1869	3777
331	1874	3771
332	1879	3764
333	1885	3759
334	1890	3753
335	1896	3747
336	1901	3740
337	1907	3735
338	1912	3729
339	1918	3724
340	1924	3720
341	1931	3716
342	1936	3709
343	1942	3704
344	1948	3698
345	1954	3693
346	1959	3687
347	1966	3683
348	1972	3679
349	1977	3673
350	1984	3668
351	1989	3662
352	1995	3656
353	2000	3650
354	2005	3644
355	2011	3638
356	2016	3632
357	2023	3628
358	2028	3622
359	2034	3616
360	2039	3609
361	2044	3603
362	2050	3597
363	2055	3591
364	2060	3585
365	2065	3578
366	2071	3572
367	2077	3567
368	2082	3561
369	2088	3556
370	2094	3550
371	2099	3543
372	2105	3538
373	2110	3532
374	2116	3527
375	2121	3520
376	2126	3514
377	2132	3508
378	2137	3503
379	2143	3497
380	2149	3491
381	2155	3487
382	2161	3481
383	2166	3476
384	2171	3469
385	2176	3462
386	2182	3457
387	2188	3451
388	2193	3444
389	2199	3439
390	2204	3433
391	2209	3426
392	2215	3421
393	2220	3414
394	2225	3408
395	2230	3402
396	2236	3396
397	2241	3390
398	2247	3385
399	2254	3381
400	2259	3375
401	2265	3369
402	2271	3364
403	2277	3360
404	2284	3355
405	2291	3352
406	2296	3346
407	2302	3341
408	2307	3334
409	2313	3329
410	2320	3324
411	2324	3317
412	2331	3313
413	2336	3307
414	2342	3301
415	2348	3296
416	2353	3290
417	2358	3283
418	2364	3278
419	2369	3272
420	2376	3267
421	2381	3261
422	2386	3255
423	2392	3249
424	2397	3244
425	2403	3238
426	2409	3233
427	2415	3228
428	2420	3222
429	2426	3215
430	2431	3209
431	2436	3203
432	2442	3198
433	2448	3192
434	2453	3186
435	2459	3180
436	2464	3175
437	2470	3169
438	2475	3163
439	2481	3157
440	2486	3151
441	2492	3146
442	2497	3140
443	2502	3134
444	2508	3128
445	2513	3122
446	2519	3117
447	2525	3112
448	2531	3107
449	2537	3100
450	2542	3094
451	2548	3089
452	2553	3083
453	2559	3078
454	2565	3073
455	2570	3066
456	2576	3060
457	2581	3054
458	2587	3049
459	2592	3043
460	2598	3038
461	2604	3032
462	2610	3027
463	2615	3021
464	2621	3016
465	2627	3010
466	2632	3005
467	2638	2999
468	2644	2994
469	2650	2988
470	2655	2982
471	2661	2977
472	2666	2971
473	2672	2965
474	2678	2960
475	2683	2954
476	2688	2947
477	2694	2942
478	2699	2936
479	2704	2929
480	2710	2924
481	2715	2918
482	2721	2913
483	2726	2906
484	2731	2900
485	2736	2894
486	2742	2889
487	2749	2884
488	2754	2878
489	2759	2871
490	2764	2866
491	2770	2860
492	2776	2855
493	2782	2849
494	2788	2844
495	2794	2839
496	2800	2834
497	2806	2829
498	2812	2823
499	2817	2817
500	2822	2811
501	2828	2805
502	2834	2800
503	2839	2794
504	2844	2788
505	2850	2782
506	2855	2776
507	2861	2771
508	2867	2765
509	2872	2759
510	2877	2753
511	2882	2747
512	2887	2741
513	2895	2737
514	2900	2731
515	2906	2726
516	2911	2720
517	2916	2714
518	2922	2708
519	2928	2703
520	2933	2697
521	2939	2691
522	2944	2685
523	2950	2680
524	2956	2675
525	2962	2669
526	2967	2663
527	2972	2657
528	2977	2651
529	2982	2645
530	2988	2639
531	2994	2633
532	3000	2628
533	3006	2623
534	3011	2617
535	3015	2610
536	3020	2604
537	3026	2599
538	3032	2593
539	3038	2588
540	3043	2582
541	3049	2576
542	3054	2571
543	3061	2566
544	3067	2560
545	3072	2554
546	3077	2548
547	3083	2543
548	3089	2537
549	3095	2532
550	3101	2527
551	3107	2522
552	3113	2516
553	3118	2510
554	3124	2505
555	3129	2499
556	3134	2492
557	3139	2487
558	3144	2480
559	3149	2474
560	3155	2469
561	3161	2463
562	3167	2458
563	3189	2465
564	3195	2460
565	3200	2453
566	3206	2448
567	3211	2442
568	3217	2437
569	3224	2432
570	3231	2427
571	3236	2421
572	3241	2415
573	3247	2410
574	3252	2404
575	3257	2398
576	3263	2392
577	3268	2386
578	3274	2380
579	3280	2375
580	3285	2369
581	3291	2364
582	3296	2358
583	3302	2352
584	3307	2346
585	3313	2340
586	3318	2335
587	3324	2329
588	3329	2323
589	3336	2318
590	3341	2312
591	3347	2307
592	3353	2301
593	3359	2295
594	3364	2290
595	3370	2284
596	3376	2279
597	3382	2273
598	3386	2267
599	3392	2261
600	3398	2256
601	3403	2249
602	3408	2243
603	3413	2238
604	3419	2232
605	3424	2226
606	3429	2220
607	3435	2215
608	3441	2209
609	3447	2204
610	3452	2198
611	3457	2192
612	3463	2186
613	3469	2180
614	3474	2174
615	3480	2169
616	3485	2163
617	3491	2158
618	3498	2153
619	3503	2147
620	3508	2141
621	3515	2136
622	3521	2130
623	3527	2125
624	3532	2119
625	3538	2114
626	3543	2108
627	3550	2102
628	3554	2096
629	3559	2090
630	3565	2084
631	3570	2079
632	3576	2073
633	3582	2068
634	3588	2062
635	3594	2057
636	3601	2052
637	3606	2046
638	3612	2040
639	3618	2035
640	3623	2029
641	3630	2024
642	3636	2018
643	3641	2012
644	3646	2007
645	3651	2001
646	3658	1995
647	3664	1990
648	3669	1984
649	3675	1979
650	3680	1972
651	3685	1967
652	3691	1961
653	3697	1956
654	3702	1949
655	3708	1944
656	3713	1938
657	3719	1933
658	3725	1927
659	3733	1923
660	3738	1917
661	3744	1911
662	3749	1905
663	3755	1900
664	3760	1894
665	3765	1888
666	3770	1882
667	3775	1876
668	3781	1871
669	3787	1865
670	3793	1860
671	3799	1854
672	3805	1848
673	3809	1842
674	3815	1836
675	3821	1831
676	3827	1825
677	3833	1820
678	3840	1815
679	3846	1809
680	3851	1804
681	3857	1798
682	3863	1792
683	3868	1787
684	3875	1782
685	3882	1776
686	3887	1771
687	3893	1765
688	3898	1759
689	3904	1754
690	3910	1748
691	3915	1742
692	3921	1737
693	3925	1730
694	3931	1725
695	3936	1719
696	3942	1713
697	3947	1707
698	3953	1702
699	3959	1696
700	3964	1690
701	3970	1685
702	3976	1679
703	3982	1674
704	3987	1668
705	3993	1662
706	3999	1657
707	4004	1651
708	4010	1646
709	4016	1640
710	4021	1634
711	4027	1629
712	4034	1623
713	4039	1618
714	4045	1612
715	4051	1606
716	4057	1601
717	4063	1596
718	4068	1589
719	4073	1584
720	4078	1578
721	4083	1572
722	4089	1566
723	4095	1561
724	4100	1555
725	4106	1549
726	4111	1544
727	4117	1538
728	4123	1532
729	4129	1527
730	4134	1521
731	4139	1515
732	4144	1509
733	4150	1503
734	4154	1498
735	4161	1492
736	4166	1486
737	4171	1480
738	4177	1475
739	4182	1469
740	4187	1463
741	4193	1458
742	4198	1452
743	4203	1446
744	4208	1440
745	4214	1435
746	4221	1429
747	4226	1423
748	4232	1418
749	4238	1412
750	4245	1407
751	4250	1401
752	4256	1396
753	4262	1390
754	4267	1384
755	4273	1379
756	4278	1373
757	4283	1367
758	4288	1361
759	4294	1356
760	4300	1350
761	4306	1345
762	4311	1339
763	4317	1333
764	4323	1328
765	4328	1322
766	4333	1316
767	4339	1310
768	4344	1304
769	4349	1299
770	4354	1293
771	4359	1287
772	4365	1281
773	4371	1276
774	4377	1270
775	4382	1265
776	4388	1259
777	4394	1253
778	4399	1248
779	4406	1242
780	4411	1237
781	4417	1231
782	4423	1225
783	4428	1220
784	4432	1214
785	4437	1208
786	4443	1202
787	4448	1196
788	4454	1191
789	4459	1185
790	4464	1179
791	4471	1174
792	4476	1168
793	4482	1162
794	4487	1157
795	4493	1151
796	4498	1145
797	4504	1140
798	4510	1134
799	4517	1129
800	4523	1123
801	4529	1118
802	4535	1112
803	4541	1107
804	4546	1101
805	4552	1095
806	4557	1090
807	4564	1084
808	4573	1079
809	4578	1073
810	4585	1068
811	4590	1062
812	4596	1057
813	4602	1051
814	4608	1045
815	4613	1040
816	4619	1034
817	4624	1028
818	4629	1023
819	4636	1017
820	4643	1012
821	4649	1006
822	4654	1001
823	4660	995
824	4666	989
825	4672	984
826	4677	978
827	4683	972
828	4689	967
829	4694	961
830	4700	955
831	4706	950
832	4712	944
833	4718	939
834	4723	933
835	4729	927
836	4735	922
837	4740	916
838	4746	910
839	4752	905
840	4758	899
841	4764	894
842	4770	888
843	4777	883
844	4783	877
845	4788	871
846	4794	866
847	4800	860
848	4805	854
849	4811	849
850	4817	843
851	4823	837
852	4828	832
853	4833	826
854	4839	820
855	4845	815
856	4850	809
857	4856	803
858	4861	798
859	4867	792
860	4873	786
861	4879	781
862	4884	775
863	4889	769
864	4895	764
865	4901	758
866	4907	752
867	4913	747
868	4918	741
869	4924	735
870	4930	730
871	4936	724
872	4942	719
873	4947	713
874	4953	707
875	4958	701
876	4963	696
877	4969	690
878	4975	684
879	4980	679
880	4986	673
881	4992	667
882	4997	662
883	5003	656
884	5008	650
885	5013	645
886	5018	639
887	5024	633
888	5030	628
889	5036	622
890	5041	616
891	5047	611
892	5053	605
893	5058	599
894	5064	594
895	5070	588
896	5075	582
897	5081	577
898	5087	571
899	5092	565
900	5098	560
901	5103	554
902	5108	548
903	5113	543
904	5119	537
905	5124	531
906	5130	526
907	5136	520
908	5141	514
909	5146	508
910	5151	503
911	5156	497
912	5161	491
913	5166	486
914	5172	480
915	5177	474
916	5183	469
917	5189	463
918	5194	457
919	5200	452
920	5205	446
921	5211	440
922	5218	435
923	5224	429
924	5230	424
925	5236	418
926	5241	412
927	5247	407
928	5254	401
929	5260	395
930	5265	390
931	5270	384
932	5276	378
933	5282	373
934	5286	367
935	5292	361
936	5313	357
937	5318	351
938	5323	345
939	5330	340
940	5336	334
941	5342	328
942	5347	323
943	5353	317
944	5359	311
945	5365	306
946	5369	300
947	5374	294
948	5380	289
949	5386	283
950	5392	277
951	5398	272
952	5403	266
953	5408	260
954	5414	255
955	5419	249
956	5424	243
957	5430	238
958	5435	232
959	5441	226
960	5446	221
961	5451	215
962	5457	209
963	5463	204
964	5469	198
965	5474	192
966	5481	187
967	5486	181
968	5492	175
969	5497	170
970	5503	164
971	5509	158
972	5514	153
973	5520	147
974	5526	141
975	5531	136
976	5537	130
977	5542	124
978	5547	119
979	5553	113
980	5559	107
981	5564	101
982	5569	96
983	5575	90
984	5580	84
985	5585	79
986	5591	73
987	5596	67
988	5601	62
989	5606	56
990	5613	50
991	5619	45
992	5625	39
993	5631	33
994	5637	28
995	5641	22
996	5647	16
997	5654	11
998	5659	5
999	5665	0
