churn_label,age,tenure_months,has_internet_service,has_phone_service,has_premium_tech_support,has_online_security,contract_type,paperless_billing,total_monthly_fee,total_charges_quarter
1,75,3,1,1,1,0,0,1,83.9,267.4
0,52,63,1,1,1,1,2,1,84.65,5377.8
0,43,65,1,1,1,1,2,1,90.45,5957.9
0,32,72,1,1,0,1,2,1,101.3,7261.25
0,39,56,1,0,1,1,2,0,45.05,2560.1
0,58,71,1,1,0,0,2,1,95.75,6849.4
0,79,50,0,1,0,0,1,0,25.2,1306.3
0,30,23,1,1,0,0,0,1,83.75,1849.95
0,37,55,1,1,1,0,1,1,103.7,5656.75
0,23,37,1,1,0,0,1,0,91.2,3247.55
0,48,49,0,1,0,0,1,0,20.45,900.9
0,28,66,1,1,1,1,1,0,115.8,7942.15
0,28,67,0,1,0,0,1,0,20.55,1343.4
0,60,59,1,1,0,1,0,1,94.75,5597.65
0,20,27,1,1,1,0,1,0,78.2,2078.95
0,19,72,1,1,1,0,2,1,85.15,6316.2
0,64,14,1,1,0,0,1,0,51.45,727.85
0,54,1,1,1,0,0,0,1,44.3,44.3
0,50,29,1,1,1,0,0,1,94.2,2607.6
0,25,64,1,1,1,1,1,0,81.25,5567.55
0,72,40,1,1,0,0,2,1,91.55,3673.6
1,51,40,1,1,0,0,0,1,104.5,4036.85
0,58,30,1,1,0,1,0,1,64.5,1888.45
0,66,70,1,1,0,0,1,1,104.8,7308.95
1,32,1,0,1,0,0,0,1,19.85,19.85
0,71,32,1,1,0,0,1,1,93.95,2861.45
0,49,16,1,1,0,0,0,1,90.8,1442.2
1,61,49,1,1,1,1,1,0,84.35,4059.35
0,40,71,1,0,1,0,2,0,58.25,4145.9
1,29,7,1,1,0,0,0,1,73.85,511.25
0,62,61,1,1,1,1,2,0,88.1,5526.75
1,42,15,1,1,1,0,0,1,101.35,1553.95
0,39,72,1,1,0,0,0,1,94.65,6747.35
0,55,66,1,1,0,0,0,0,89.4,5976.9
1,40,2,1,1,1,1,0,1,86.25,181.65
0,76,44,1,1,1,0,1,0,74.85,3268.05
1,57,12,1,1,0,0,0,1,89.75,1052.4
0,71,69,1,1,1,0,2,1,109.95,7634.25
1,24,3,0,1,0,0,0,0,19.85,63.75
0,77,27,1,1,0,0,2,1,86.45,2401.05
0,57,26,0,1,0,0,0,1,20.3,511.25
0,51,24,0,1,0,0,2,1,19.55,470.2
0,54,47,1,1,0,0,0,0,87.2,4017.45
0,56,27,1,1,0,1,0,0,74.4,1972.35
1,73,58,1,1,1,1,1,1,105.5,6205.5
0,59,9,1,1,0,0,0,1,75.2,633.85
1,78,6,1,1,0,0,0,1,84.35,474.9
0,52,30,1,1,0,1,0,1,84.3,2438.6
0,22,71,1,1,0,0,1,0,100.55,7113.75
0,33,30,0,1,0,0,1,0,19.8,576.65
0,40,19,1,1,1,0,0,0,59.55,1144.6
0,53,72,1,1,1,1,2,0,69.65,4908.25
0,38,66,1,0,1,1,2,1,56.6,3789.2
0,62,50,1,1,1,1,0,1,109.65,5405.8
0,37,46,1,1,0,1,0,0,84.25,3847.6
0,35,72,1,1,1,1,2,0,92.65,6733.0
0,19,1,1,1,0,0,0,1,50.1,50.1
0,19,72,1,1,1,1,2,1,109.9,7624.2
0,44,67,1,1,0,0,1,0,50.55,3431.75
0,29,32,1,1,0,0,0,0,62.45,2045.55
1,80,27,1,1,0,1,0,1,75.2,1929.35
0,45,71,0,1,0,0,2,0,20.1,1389.6
0,43,72,1,1,1,1,2,1,114.3,8058.55
1,41,3,0,1,0,0,0,0,19.75,58.85
0,62,72,1,1,1,1,2,0,69.85,5102.35
0,56,63,0,1,0,0,2,1,19.95,1234.8
0,70,12,1,0,1,0,0,1,29.3,355.9
0,54,27,1,1,0,1,0,1,54.75,1510.3
0,57,35,1,1,0,1,0,0,60.55,1982.6
1,56,1,1,1,0,0,0,1,95.45,95.45
